Name, Fecha,Latchs,UserIo,SystemIo,Others,Application,Commit,Network,Cpu
DBC1, 2019-07-01 03:00:00, 665.13, 616.46, 523.86, 26.45, 88.54, 965.43, 0.31, 840.76
DBC1, 2019-07-01 04:00:00, 542, 558.67, 475.83, 20.83, 42.33, 997.67, 0, 839.5
DBC1, 2019-07-01 05:00:00, 612.83, 419.17, 428.17, 12.67, 32.33, 1014.17, 0.17, 823.83
DBC1, 2019-07-01 06:00:00, 645.83, 428.67, 457.17, 22.33, 47.83, 1095.33, 0, 852.17
DBC1, 2019-07-01 07:00:00, 877.83, 987.33, 750.83, 28.83, 47.83, 1148, 0.17, 1022
DBC1, 2019-07-01 08:00:00, 783.2, 962.2, 720, 23.2, 69.4, 1130.2, 0, 996.4
DBC1, 2019-07-01 09:00:00, 875.8, 747.4, 516, 21.8, 56, 1107.4, 0.2, 867.6
DBC1, 2019-07-01 10:00:00, 1358.29, 786.86, 601.14, 66.43, 158.86, 1561.86, 0.14, 960
DBC1, 2019-07-01 11:00:00, 1197.67, 827.67, 616.5, 47, 132, 1484.67, 0.17, 968.67
DBC1, 2019-07-01 12:00:00, 1151.67, 915.83, 646.5, 55.83, 192.83, 1518.83, 0.17, 995
DBC1, 2019-07-01 13:00:00, 1166.33, 885.33, 617.5, 55.33, 201, 1433, 0.17, 957.5
DBC1, 2019-07-01 14:00:00, 803.4, 724.8, 549.8, 28.6, 86.4, 1172.6, 0.2, 908.2
DBC1, 2019-07-01 15:00:00, 783.5, 702, 564.33, 23.17, 116.5, 1159, 0, 909.67
DBC1, 2019-07-01 16:00:00, 951.17, 1021.17, 716.83, 44.67, 111.5, 1223.67, 0.17, 1002.67
DBC1, 2019-07-01 17:00:00, 722.86, 570.14, 475.57, 32, 85.86, 935.14, 0.14, 750.29
DBC1, 2019-07-01 18:00:00, 371.5, 491.67, 436, 9.67, 40.5, 730.5, 0.17, 780.67
DBC1, 2019-07-01 19:00:00, 431.5, 631.83, 501.17, 9.83, 57.5, 788.5, 0, 820.33
DBC1, 2019-07-01 20:00:00, 399.8, 464.4, 426.2, 10, 50.2, 710.6, 0.2, 759.6
DBC1, 2019-07-01 21:00:00, 441.67, 488.17, 455.5, 9.33, 60.17, 762.17, 0, 780.67
DBC1, 2019-07-01 22:00:00, 93.86, 326.29, 444.14, 4.29, 75.14, 334.14, 0.71, 669.86
DBC1, 2019-07-01 23:00:00, 86, 265.17, 505, 3, 61.33, 303, 0.17, 774.17
